id,img,name,dsc,price
17481-jewish-dessert-3-pack54,./img/cardapio/descartaveis/SOUR APPLE ELF BAR BC 5K.jpg,SOUR APPLE ELF BAR BC 5K,ELBAR BC 5K,65
17481-jewish-dessert-3-pack55,./img/cardapio/descartaveis/TRIPLE BERRY ICE ELF BAR BC 5K.jpg,TRIPLE BERRY ICE ELF BAR BC 5K,ELBAR BC 5K,65
17481-jewish-dessert-3-pack56,./img/cardapio/descartaveis/TROPICAL RAINBOW BLAST ELF BAR BC 5K.webp,TROPICAL RAINBOW BLAST ELF BAR BC 5K,ELBAR BC 5K,65
17481-jewish-dessert-3-pack57,./img/cardapio/descartaveis/Asap Grape NASTY CLEAR 5k.jpg,Asap Grape NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack58,./img/cardapio/descartaveis/Cushman strawberry  NASTY CLEAR 5k.webp,Cushman strawberry  NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack59,./img/cardapio/descartaveis/Snow blow NASTY CLEAR 5k.webp,Snow blow NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack60,./img/cardapio/descartaveis/Passion fruit NASTY CLEAR 5k.webp,Passion fruit NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack61,./img/cardapio/descartaveis/Strawberry bubblegum  NASTY CLEAR 5k.webp,Strawberry bubblegum  NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack62,./img/cardapio/descartaveis/Cushman Mango  NASTY CLEAR 5k.webp,Cushman Mango  NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack63,./img/cardapio/descartaveis/Red Energy NASTY CLEAR 5k.webp,Red Energy NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack64,./img/cardapio/descartaveis/Watermelon candy NASTY CLEAR 5k.webp,Watermelon candy NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack65,./img/cardapio/descartaveis/WATERMELON ICE NASTY CLEAR 5k.webp,WATERMELON ICE NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack66,./img/cardapio/descartaveis/HONEYDEW ICE NASTY CLEAR 5k.webp,HONEYDEW ICE NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack67,./img/cardapio/descartaveis/PEACH LEMONADE NASTY CLEAR 5k.webp,PEACH LEMONADE NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack68,./img/cardapio/descartaveis/PEACH ICE  NASTY CLEAR 5k.webp,PEACH ICE  NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack69,./img/cardapio/descartaveis/LYCHEE  NASTY CLEAR 5k.jpg,LYCHEE  NASTY CLEAR 5k,NASTY CLEAR 5k,65
17481-jewish-dessert-3-pack70,./img/cardapio/descartaveis/VANILLA CUBAN TOBACCO NASTY CLEAR 5k.jpg,VANILLA CUBAN TOBACCO NASTY CLEAR 5k,NASTY CLEAR 5k,65
